place_id,name_en,name_gu,alt_spellings,district_taluka,state,lat,lng,pin_confidence,period_label,ce_from,ce_to,life_phase,evidence,caution,sources,work
11,Khambhat,ખંભાત,"Cambay, Trambavati Nagari","Khambhat taluka, Anand district",Gujarat,22.3167,72.6243,High,VS 1946–1952 (1889–96),1889,1896,business,Diwali with Lalluji Munishri VS 1946 (1889–90). Eighteen-day stay at the Subodhak Pustakalay. Named in the VS 1951 and 1952 entries. Lalluji Muni (later Prabhu Shriji / Laghuraj Swami) first met Him alone here.,,Trust – Ralej/Vadva/Khambhat; jainQQ,
12,Muli,મૂળી,,"Muli taluka, Surendranagar district",Gujarat,22.638808,71.458039,High,VS 1946 (1889–90),1889,1890,business,Named at the end of the VS 1946 travel entry.,"A bare geocode of 'Muli' resolves to Muli Tibetan Autonomous County, Sichuan, China.",jainQQ chronology,
13,Ralej,રાલેજ,"Ralaj, Raalaj","Khambhat taluka, Anand district",Gujarat,22.299877,72.68147,Medium,"VS 1947, 1952 (1890–96)",1890,1896,business,Named in the VS 1947 entry; Paryushan of VS 1952 (1895–96) kept here. Four major poetic works composed during this period. He sat under a banyan by the lakeshore and spoke on religion and ethics.,"Edition 1 placed Ralej in Petlad taluka. It is in Khambhat taluka. The memorial sits about 500 m outside the village centroid, so the village pin and the shrine pin are not the same point.",Trust – Ralej/Vadva/Khambhat; jainQQ,Four major poetic works composed during the VS 1952 Paryushan
14,Vadodara,વડોદરા,Baroda,Vadodara district,Gujarat,22.3,73.2,High,VS 1949 (1892–93),1892,1893,business,Paryushan kept at Vadodara in VS 1949.,"Mapcarta serves a Vadodara coordinate roughly 90 km off, near Gandhinagar. Use the Wikipedia value.",jainQQ chronology,
15,Hadmatiya,હડમતીયા,Hadmatia,UNRESOLVED — at least 15 villages of this name exist in Gujarat,Gujarat,,,Unresolved,VS 1951 (1894–95),1894,1895,business,Named in the VS 1951 travel entry between Sayla and Dharmaj.,"Fifteen census villages named Hadmatiya were found across Rajkot, Morbi, Jamnagar, Devbhumi Dwarka, Amreli, Bhavnagar, Junagadh, Gir Somnath, Sabarkantha and Mahisagar districts. None is in Surendranagar or Anand, so the travel route does not disambiguate it. The Tankara (Morbi district) candidate is the most plausible on geography alone, but that is inference, not evidence. Both Wikipedia articles titled Hadmatiya contradict themselves on district. Do not pin this until a Gujarati primary source names the district. OpenStreetMap holds only three nodes of the name in Gujarat — Hadmatiya in Paddhari taluka, Rajkot district (22.43352, 70.48005), which also has a railway station of that name on the Rajkot–Wankaner line; a Hadmatiya at 24.64183, 72.68557 in the north; and a Hadmatia locality at 20.71343, 70.87421. None of the three is attested as His Hadmatiya, and the census count is far higher than three, so this only narrows where to look next.",jainQQ chronology,
16,Dharmaj,ધર્મજ,,"Petlad taluka, Anand district",Gujarat,22.41667,72.8,High,VS 1951 (1894–95),1894,1895,business,Named in the VS 1951 travel entry.,A second Dharmaj exists in Chhota Udepur district.,jainQQ chronology,
17,Virsad,વિરસદ,Veersad,"Borsad taluka, Anand district",Gujarat,22.38821,72.77704,High,VS 1951 (1894–95),1894,1895,business,Named in the VS 1951 travel entry. The biography records an incident involving wild bulls here.,,jainQQ chronology,
18,Undel,ઉંડેલ,,"Khambhat taluka, Anand district",Gujarat,22.335925,72.693121,Medium,VS 1951 (1894–95),1894,1895,business,Named in the VS 1951 travel entry.,Edition 1 implied Petlad taluka; it is Khambhat taluka. Three villages named Undel exist in Madhya Pradesh and a bare geocode returns those.,jainQQ chronology,
19,Kathor,કઠોર,,"Kamrej taluka, Surat district",Gujarat,21.288457,72.94037,High,VS 1951 (1894–95),1894,1895,business,Closing entry of the VS 1951 travel sequence. He stayed upstairs in the Upashray; association with monks recorded.,,jainQQ chronology,
20,Kavitha,કવીઠા,,"Borsad taluka, Anand district",Gujarat,22.441654,72.872057,Medium,"VS 1952, 1954 (1895–98)",1895,1898,retreat,Named in the VS 1952 entry; the Paryushan of VS 1954 (1897–98) kept here. A major retreat with daily discourses and long periods of meditation in the fields and groves around the village.,"Edition 1 placed Kavitha in Khambhat taluka; it is Borsad taluka. English Wikipedia's infobox for Kavitha gives 21.500N 74.133E, which is roughly 180 km away on the Maharashtra/MP border and is wrong.",Trust – Kavitha; SRMD life; jainQQ,
21,Vadva,વડવા,Vadava,"Metpur, Khambhat taluka, Anand district",Gujarat,22.3105,72.6359,Medium,VS 1952 (1895–96),1895,1896,retreat,"Fifteen-day stay. He lived in a small room outside a temple beside a stepwell, and preached under the banyan. He indicated a nearby hill as 'golden land' and said a temple of Chandraprabhu Swami would be built there.","A separate Vadva exists as a locality of Bhavnagar city, about 300 km away. Also: the Trust records the Chandraprabhu Swami prediction but does not state the predicted temple was ever built — do not assert that it was.",Trust – Ralej/Vadva/Khambhat; Trust – Places around Vadva,
22,Anand,આણંદ,,"Anand taluka, Anand district",Gujarat,22.556,72.951,High,VS 1952 (1895–96),1895,1896,retreat,Named in the VS 1952 travel entry.,,jainQQ chronology,
23,Nadiad,નડીઆદ,Nadiyad,"Nadiad taluka, Kheda district",Gujarat,22.69,72.86,High,"VS 1952, 1957 (1896 and 1900–01)",1896,1901,retreat,"On the evening of Aso Vad Ekam, VS 1952 — 22 October 1896, the day after Sharad Purnima — He composed the Shri Atmasiddhi Shastra, all 142 verses, at a single sitting, at Sobhagbhai's request, with Ambalalbhai holding the lantern. Revisited in VS 1957 (1900–01). This is, by most reckonings, the most significant single location of His life.","Wikipedia's Atma Siddhi article cites 31-3-1888. That is the date of the underlying letter to Lalluji Maharaj, not the composition date. Do not conflate them.",Trust – Nadiad/Uttarsanda; SRMD life,"Shri Atmasiddhi Shastra — 142 verses at a single sitting, 22 October 1896"
24,Rajpur,રાજપુર,Rajpura,"Khambhat taluka, Anand district",Gujarat,,,"Identified, not pinned",VS 1952 (1895–96),1895,1896,retreat,Named in the VS 1952 travel entry between Nadiad and Limbdi.,"Newly identified in this edition. A village named Rajpur sits in the Khambhat taluka roster inside the 'Ralaj-Rajpura' gram panchayat, paired with Ralej and neighbouring Metpur — precisely the Ralej–Vadva–Khambhat cluster of the same travel entry. Population 519. No gazetteer publishes its coordinates, so it is identified but not yet pinned. This is not the Rajmandir Ashram site, and not Rajpur in Barwani, MP. Village-directory and census listings add that Rajpur lies about 9 km from Khambhat town, covers 2,444.88 hectares and carries pincode 388640 — a constraint tight enough to identify the village on the ground, but still not a published coordinate.",jainQQ chronology; census 2011 Khambhat taluka roster,
25,Limbdi,લીંબડી,Limdi,"Limbdi taluka, Surendranagar district",Gujarat,22.568472,71.794944,High,VS 1952 (1895–96); final illness period,1895,1896,retreat,Named in the VS 1952 travel entry. Associated with the Limdi Guesthouse during the final illness and with the Wadhwan circuit photographs.,"Do not confuse with Limdi in Santrampur taluka, Mahisagar district.",jainQQ chronology,
26,Idar,ઇડર,"Eedar, Idargadh","Idar taluka, Sabarkantha district",Gujarat,23.839,73.002,High,VS 1952–1955 (1895–99); four visits,1895,1899,retreat,"Four documented visits: first in VS 1952 (1895–96) for ten days; again in Vaishakh VS 1953 (April–May 1897) staying with Sobhagbhai; a three-month retreat beginning Magshar Sud 2, VS 1955 (Nov/Dec 1898); and a further twelve days later that year. On a giant rock He recited the first gatha of the third chapter of the Uttaradhyayan Sutra and the whole Dravyasangrah to seven monks, and declared the slab Pudhavi Sheela — Siddhsheela, the abode of the liberated.","The Viharbhuvan's own history page dates it to VS 1966 (1909–10) and states it was built on the original rock. The rock is a lifetime site; the building over it is not. The paduka, the Sumatinath idol and the paintings are all later installations. Separately, SRMD's 2023 Dharmayatra report names four further Idar sites — Mahakaleshwar, Chandaneshwar and Khokhanath Mahadev and Ramdwar Mandir — as places where He performed spiritual practices, but gives no lifetime detail; these are 2023 portrait installations at claimed sites.",Trust – Idar; Trust – Idar Ashram History; SRMD,
27,Viramgam,વિરમગામ,,"Viramgam taluka, Ahmedabad district",Gujarat,23.12,72.03,High,"VS 1953, 1955 (1896–99)",1896,1899,retreat,Named in the VS 1953 and VS 1955 travel entries.,,jainQQ chronology,
28,Naroda,નરોડા,,Ahmedabad district (now a suburb of Ahmedabad),Gujarat,23.083,72.667,Medium-High,VS 1955 (1898–99),1898,1899,retreat,Named in the VS 1955 travel entry. Edition 1 recorded a four-month monsoon period at the Naroda Upashray.,"Edition 1 attributed the four-month Naroda chaturmas to Shrimadji. The Trust attributes it to Prabhu Shriji (Laghuraj Swami), who outlived Him by 35 years. This needs adjudication before the claim is repeated.",Trust – Ahmedabad/Naroda; jainQQ,
29,Dharampur,ધરમપુર,,"Dharampur taluka, Valsad district",Gujarat,20.53,73.18,High,"VS 1956 (1899–1900), most probably 1900",1899,1900,final,"A retreat of roughly a month in the forests and hills. The jainQQ chronology pairs the Dharampur entry with 'health deteriorated', and the onward sequence to Ahmedabad and Wadhwan Camp is dated 1900–01.",This is the sharpest memorial-versus-lifetime trap in the whole dataset. The lifetime evidence is a forest retreat; the ashram is a modern campus. They must not share a pin.,Trust – Tithal/Dharampur/Bharuch; jainQQ; Wikipedia,
30,Wadhwan Camp,વઢવાણ કેમ્પ,"Surendranagar (renamed 1946), Vadhvan Camp","Wadhwan taluka, Surendranagar district",Gujarat,22.720132,71.649536,High,VS 1941 (?) and VS 1956–1957 (1899–1901),1899,1901,final,"A 16-avadhan performance before a reported 2,000 people. Photographs of Him were taken here. An institution and library were founded. In the final months of VS 1957 He moved here from Ahmedabad before the last journey to Rajkot.","Wadhwan Camp was the British agency settlement about 3 km north-west of Wadhwan town; it was renamed Surendranagar in 1946. Devotional references to 'Wadhwan Camp' should pin to Surendranagar (22.7201, 71.6495), not to Wadhwan town (22.700, 71.683). Edition 1 did not distinguish them.",Wikipedia; jainQQ; Trust,
31,Tithal,તીથલ,Titthal,"Valsad taluka, Valsad district",Gujarat,20.588,72.901,High,VS 1957 (1900–01),1900,1901,final,"A 45-day coastal retreat on the way from Mumbai to Wadhwan, during the final illness.",,Trust – Tithal/Dharampur/Bharuch; jainQQ,
32,Kheda,ખેડા,"Kaira, Khetaka","Kheda taluka, Kheda district",Gujarat,22.75,72.68,High,VS 1954 (1897–98),1897,1898,retreat,"A 23-day retreat with forest meditation, at the end of the Vaso–Uttarsanda–Kheda sequence. SRMD describes this whole period as months in seclusion in the Gujarati wilderness.",,SRMD life; jainQQ,
33,Uttarsanda,ઉત્તરસંડા,,"Nadiad taluka, Kheda district",Gujarat,22.65778,72.89806,High,VS 1954 (1897–98),1897,1898,retreat,About a month at the Dhaneshwari Bungalow while travelling from Vaso to Kheda. He sat for hours in meditation on the bank of the small lake.,,Trust – Nadiad/Uttarsanda,
34,Vaso,વસો,,"Nadiad taluka, Kheda district",Gujarat,22.66,72.75,High,VS 1954 (1897–98),1897,1898,retreat,"A month-long stay at Navlakha nu Dehlu with extensive discourses, meditation in the Digambar posture at the Mahadev temple, and frequent visits to the old cremation ground.",Kheda district tourism lists the village's principal havelis as Vithalbhai Haveli and Gopaldas Haveli. 'Navlakha nu Dehlu' is the Trust's name and may be a local usage for one of them — worth confirming on the ground before it is used as a map label.,Trust – Vaso,
35,Petlad,પેટલાદ,,"Petlad taluka, Anand district",Gujarat,22.47,72.8,High,"Travel stop, VS 1952–1954 period",1895,1898,retreat,Edition 1 records that the biography states He left Mumbai and travelled to Kavitha via Petlad. A transit stop rather than a stay.,Not confirmed in this round. The jainQQ chronology does not name Petlad in any year. The claim needs its page citation in Life of Shrimad Rajchandra supplied before it is carried forward.,Edition 1 citation of the biography,
