site_id,place_id,place_en,site_name_en,site_name_gu,structure_status,lat,lng,address,evidence_note,pin_confidence
29,11,Khambhat,Shri Subodhak Pustakalay,,ORIG,,,,"Founded on His own instruction during His lifetime; 18-day stay; no year published Searched by name on Google Maps in pass 1 and not found — expected for a named tree, well or field, which are local landmarks rather than indexed places. Gujarati-language and yatra-video search are the next avenue. Checked in pass 2 against the Trust's Ralej-Vadva-Khambhat page, which describes it in prose only — no street, pol name or landmark beyond the town. Research pass 2, 16 Sep 2026",
30,11,Khambhat,"Sthanakvasi Upashray, third floor",,ORIG,,,,"Where Lalluji Muni first met Him in solitude Searched by name on Google Maps in pass 1 and not found — expected for a named tree, well or field, which are local landmarks rather than indexed places. Gujarati-language and yatra-video search are the next avenue. Checked in pass 2 against the Trust's Ralej-Vadva-Khambhat page, which describes it in prose only — no street, pol name or landmark beyond the town. Research pass 2, 16 Sep 2026",
31,11,Khambhat,Jain temple near Ambalalbhai's house,,ORIG,,,,"Frequented by Him Searched by name on Google Maps in pass 1 and not found — expected for a named tree, well or field, which are local landmarks rather than indexed places. Gujarati-language and yatra-video search are the next avenue. Checked in pass 2 against the Trust's Ralej-Vadva-Khambhat page, which describes it in prose only — no street, pol name or landmark beyond the town. Research pass 2, 16 Sep 2026",
32,11,Khambhat,Shri Chotalal Kapurchand house,,UNID,,,,"The recorded event involves Ambalalbhai, not necessarily Him in person",
33,12,Muli,Historic site not identified,,UNID,,,,,
34,13,Ralej,Shrimad Rajchandra Smruti Sthal,,MEM,22.30497,72.68416,,"Listed as 'Shrimad Rajchandra Smriti Sthan, Ralej'. Google Maps listing, research pass 1, 14 Sep 2026",Building
35,13,Ralej,Banyan and lakeshore where He sat,,ORIG,22.30497,72.68416,,"Two independent reviews of the Smriti Sthan describe a lakeside setting and say the four padas were composed in this village. The pin is the memorial; whether the banyan itself still stands beside it is not stated. Google Maps listing, research pass 1, 14 Sep 2026",Locality — the memorial’s lakeside setting
36,13,Ralej,Parsi Bungalow / Karuna Vrushti Smarak,,UNID,,,,Named in Edition 1; not found on Trust pages,
37,14,Vadodara,Historic site not identified,,UNID,,,,,
38,15,Hadmatiya,Location not identified,,UNID,,,,,
39,16,Dharmaj,Historic site not identified,,UNID,,,,,
40,17,Virsad,Historic site not identified,,UNID,,,,,
41,18,Undel,Historic site not identified,,UNID,,,,,
42,19,Kathor,Historical Upashray,,UNID,,,,Not covered by any Trust page,
43,20,Kavitha,Residence of Shri Zaverchand Sheth,,ORIG,,,,"Private residence where Ambalalbhai cooked and served Him Checked in pass 2 against the Trust's Kavitha page, which describes it in prose only — no street, pol name or landmark beyond the town. Research pass 2, 16 Sep 2026",
44,20,Kavitha,Gamot Vad (banyan),,ORIG,,,,"He sat and preached beneath it Searched by name on Google Maps in pass 1 and not found — expected for a named tree, well or field, which are local landmarks rather than indexed places. Gujarati-language and yatra-video search are the next avenue. Checked in pass 2 against the Trust's Kavitha page, which describes it in prose only — no street, pol name or landmark beyond the town. Research pass 2, 16 Sep 2026",
45,20,Kavitha,Vijali Mata no Vad (banyan),,ORIG,,,,"Meditation site Searched by name on Google Maps in pass 1 and not found — expected for a named tree, well or field, which are local landmarks rather than indexed places. Gujarati-language and yatra-video search are the next avenue. Checked in pass 2 against the Trust's Kavitha page, which describes it in prose only — no street, pol name or landmark beyond the town. Research pass 2, 16 Sep 2026",
46,20,Kavitha,Dhainia no Vad (banyan),,ORIG,,,,"Meditation site Searched by name on Google Maps in pass 1 and not found — expected for a named tree, well or field, which are local landmarks rather than indexed places. Gujarati-language and yatra-video search are the next avenue. Checked in pass 2 against the Trust's Kavitha page, which describes it in prose only — no street, pol name or landmark beyond the town. Research pass 2, 16 Sep 2026",
47,20,Kavitha,Mithuji no Kuvo (well),,ORIG,,,,"Meditation site Searched by name on Google Maps in pass 1 and not found — expected for a named tree, well or field, which are local landmarks rather than indexed places. Gujarati-language and yatra-video search are the next avenue. Checked in pass 2 against the Trust's Kavitha page, which describes it in prose only — no street, pol name or landmark beyond the town. Research pass 2, 16 Sep 2026",
48,20,Kavitha,Shamal Dosa nu Khetar (field),,ORIG,,,,"Meditation site Searched by name on Google Maps in pass 1 and not found — expected for a named tree, well or field, which are local landmarks rather than indexed places. Gujarati-language and yatra-video search are the next avenue. Checked in pass 2 against the Trust's Kavitha page, which describes it in prose only — no street, pol name or landmark beyond the town. Research pass 2, 16 Sep 2026",
49,20,Kavitha,Shrimad Rajchandra Mandir,,MEM,22.43956,72.86464,,"Google Maps plus code CVQ7+RVC, recorded as permanently closed. The listing name matches this site exactly. Decoding was checked against the Vadva code, which reproduced its independently reported decimal coordinate to five places. Google Maps listing, research pass 1, 14 Sep 2026",Building — decoded from a plus code
50,20,Kavitha,Mahudi Memorial,,UNID,,,,The Trust entry reads only 'To be updated',
51,21,Vadva,The room beside the stepwell,,ORIG,22.31118,72.63594,,"A review of the Vadva ashram names 'the Raj Kutir where Shrimad Ji pointed to the ashram and the well adjoining it' — a direct match for the room beside the stepwell. Google Maps listing, research pass 1, 14 Sep 2026",Building
52,21,Vadva,The Vaav (stepwell),,ORIG,22.31196,72.63580,,"Listed on Google Maps as 'Ramji Mandir & Stepwell, Vadva Khambhat', about 90 m from the Raj Kutir — consistent with 'the room beside the stepwell'. Google Maps listing, research pass 1, 14 Sep 2026",Building
53,21,Vadva,The Vad (banyan) where He preached,,ORIG,,,,Natural feature,
54,21,Vadva,Shrimad Rajchandra Ashram / Raj Kutir,,MEM,22.31118,72.63594,"Vadva, Metpur, Khambhat 388620","Google Maps plus code 8J6P+F9G, Metpur Rd, Khambhat 388620, which decodes to this point and agrees with the separately reported decimal coordinate. Google Maps listing, research pass 1, 14 Sep 2026",Building
55,22,Anand,Historic site not identified,,UNID,,,,,
56,23,Nadiad,Nana Kumbhdev Mahadev,,ORIG,,,,"The spot is now located, but this temple is not. SRMD places the composition at the site its Rachnabhoomi memorial occupies — see that entry, which is pinned — while no source says which of Nadiad's two Kumbhnath temples, Nana or Mota, bore the name in 1896. A pilgrim can be sent to the right ground; the building is still unidentified, so it is not pinned. Research pass 2, 16 Sep 2026",
57,23,Nadiad,Shri Dahyabhai Desai's house,,MEM,,,,"The recorded event is Prabhu Shriji's, after 1901 — not a lifetime site",
58,24,Rajpur,Location not identified,,UNID,,,,,
59,25,Limbdi,Limdi Guesthouse,,UNID,,,,Named in Edition 1; not found on Trust pages,
60,26,Idar,Pudhavi Sheela (the rock),,ORIG,23.84302,72.97533,"Ghantiya Pahad, Idar 383430","The Trust's Idar Ashram History states that the Viharbhuvan is situated upon the same rock upon which He sat. That places the rock at the ashram's own coordinate, found in pass 1. Research pass 2, 16 Sep 2026",Building
61,26,Idar,Bhurabawa ni Gufa (cave),,ORIG,23.84302,72.97533,"Ghantiya Pahad, Idar 383430","He stayed in the cave about six weeks. The Trust describes it as one of several caves in the same rocky hillside and does not distinguish it from the rock, so it carries the hill's coordinate rather than one of its own. Research pass 2, 16 Sep 2026","Locality — the same hillside, not a distinct point"
62,26,Idar,Shrimad Rajchandra Vihar Bhavan / Nutan Jain Mandir,,MEM,23.84302,72.97533,"Ghantiya Pahad, Idar 383430","Listed on Google Maps as 'Shrimad Rajchandra Vihar Dham, Ghantiya Pahad, Idar', a 350-step climb, matching the Trust's stated address and its 'about 2 km from Idar town'. Google Maps listing, research pass 1, 14 Sep 2026",Building
63,26,Idar,Sadguru Prasad (Shri Guru Mandir),,MEM,,,"Ghantiya Pahad, Idar 383430",Built at the place where He gave the Dravyasangrah discourse,
64,26,Idar,Shwetambar and Digambar hill temples,,ORIG,,,,"A Google Maps listing 'Digambar Chhatri (Shrimad Rajchandra)' carries plus code R2M9+P6R, which decodes to 23.83436, 73.01802 — about 1.7 km east of Idar town, and so on the opposite side of the town from Ghantiya Pahad rather than on it. It may belong with the Idar Gadh temples instead. Recorded as a candidate; the contradiction is unresolved. Google Maps listing, research pass 1, 14 Sep 2026",
65,26,Idar,Ghantiya Pahad (the hill itself),,ORIG,23.84302,72.97533,"Ghantiya Pahad, Idar 383430","Open question closed at locality level: the hill is where the Vihar Dham stands, about 2.7 km west of Idar town. The pin is the ashram on the hill; it does not distinguish the Pudhavi Sheela, the cave or the hill temples from one another. Google Maps listing, research pass 1, 14 Sep 2026","Locality — the hill, not a point on it"
66,26,Idar,Kanvanath Mahadev; Ramanlal ni Chauki; Rukhi Raani nu Maaliyu,,UNID,,,,Named by the Trust without description,
67,26,Idar,Chandraprabhu Swami Deri,,MEM,,,,"Paduka installed 'later on', after VS 1966",
68,27,Viramgam,Historic site not identified,,UNID,,,,,
69,28,Naroda,The lake at Naroda,,ORIG,,,,"Searched. The only Naroda lake on Google Maps is a modern public park with a jogging track and no association with Him across 317 reviews — almost certainly not this lake. The Trust's own Ahmedabad-Naroda page confirms the lake tradition and gives no address. Google Maps listing, research pass 1, 14 Sep 2026",
70,28,Naroda,Upashray of Naroda,,MEM,,,,"The Trust attributes the four-month chaturmas here to Prabhu Shriji, not to Him",
71,28,Naroda,"Newly built Jinmandir and swadhyay hall, NH8",,MEM,,,,The Trust's own label says 'newly built',
72,29,Dharampur,Forest and hill retreat landscape,,ORIG,,,,Exact retreat points not identified,
73,29,Dharampur,"Shrimad Rajchandra Ashram, Dharampur (223 acres, Mohangadh hillock)",,MEM,,,"Shrimad Rajchandra Marg, Dharampur 396050, Valsad district","223 acres on the Mohangadh hillock. The modern ashram campus is at 20.54807, 73.19032 — a ticketed, built-up retreat centre of recent decades, recorded here for navigation only. Nothing ties that campus to the 1890s forest tract itself, so it is not used as the pin. Google Maps listing, research pass 1, 14 Sep 2026",
74,30,Wadhwan Camp,Historic Wadhwan Camp locality,,UNID,,,,Original bungalow and institution buildings not identified,
75,31,Tithal,Tithal Bungalow,,ORIG,,,,"Searched by name on Google Maps; no listing under this name or a plausible variant, and not in OpenStreetMap either. Google Maps listing, research pass 1, 14 Sep 2026",
76,31,Tithal,"Shrimad Rajchandra Mandir, Tithal",,MEM,,,,Later construction,
77,32,Kheda,Historical retreat area,,UNID,,,,Exact bungalow or site not identified,
78,33,Uttarsanda,Dhaneshwari Bungalow,,ORIG,,,,"One of only two buildings the Trust calls original; He stayed about a month. Searched again in pass 2 against the Trust's own Nadiad-Uttarsanda page, which names the bungalow and publishes no address for it. Not the Vanshetra pin, which is a different thing. Still not located. Research pass 2, 16 Sep 2026",
79,33,Uttarsanda,Shrimad Vankshetra Mandir,,MEM,22.66183,72.88270,,"Pass 1 pinned a Google Maps listing named 'Shrimad Rajchandra Mandir, Vanshetra'. Pass 2 corrects what that pin can be said to be: the Trust's Nadiad-Uttarsanda page separates the Vankshetra forest tract from a lake memorial building it places 500 m away, and the listing is one of those two without saying which. It is certainly not the Dhaneshwari Bungalow. Confidence lowered from building to locality accordingly. Research pass 2, 16 Sep 2026","Locality — one of two nearby sites, not resolved between them"
80,33,Uttarsanda,The small lake and its memorial building,,MEM,,,,"The Trust places this 500 m from the Vankshetra site. The pin recorded against the Vankshetra entry may in fact be this building — the two are not distinguished in any source found. Research pass 2, 16 Sep 2026",
81,34,Vaso,Navlakha nu Dehlu,,ORIG,,,,"The Trust records a stay of almost a month in VS 1954 Checked in pass 2 against shrimad.com's Vaso page, which describes it in prose only — no street, pol name or landmark beyond the town. Research pass 2, 16 Sep 2026",
82,34,Vaso,Mahadev Temple,,ORIG,,,,"He meditated here in Digambar style Checked in pass 2 against shrimad.com's Vaso page, which describes it in prose only — no street, pol name or landmark beyond the town. Research pass 2, 16 Sep 2026",
83,34,Vaso,Old crematorium,,ORIG,,,,"Frequented for meditation Checked in pass 2 against shrimad.com's Vaso page, which describes it in prose only — no street, pol name or landmark beyond the town. Research pass 2, 16 Sep 2026",
84,34,Vaso,Digambar temple,,ORIG,,,,"Frequented by Him Checked in pass 2 against shrimad.com's Vaso page, which describes it in prose only — no street, pol name or landmark beyond the town. Research pass 2, 16 Sep 2026",
85,34,Vaso,Shwetambar temple,,ORIG,,,,"Frequented by Him Checked in pass 2 against shrimad.com's Vaso page, which describes it in prose only — no street, pol name or landmark beyond the town. Research pass 2, 16 Sep 2026",
86,34,Vaso,Sthanakvasi Upashray,,MEM,,,,"The Trust associates it with Prabhu Shriji, not with Him",
87,34,Vaso,Shrimad Rajchandra Jain Subodh Pustakalaya,,MEM,,,,"Established VS 1987 (1930–31), and the present library is newer still",
88,35,Petlad,Transit stop; no site identified,,UNID,,,,,
89,23,Nadiad,Shri Atmasiddhi Shastra Rachnabhoomi (memorial marking the composition),,MEM,22.68827,72.86778,"Shri Atmasiddhishastra Rachnabhoomi, near Ipcowala Hall, Nana Kumbhnath Road, Nadiad 387001","SRMD's own centre page states that this memorial stands at the sanctified site of the creation of the Shri Atmasiddhi Shastra, 22 October 1896 — built on the spot rather than merely named for the event, which is why it is pinned as a building. The coordinate is the one found in pass 1 and the address is the Mission's own. Research pass 2, 16 Sep 2026",Building
